A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	class
1	27.0	1.5	1	9	4	0.375	1	0	0.0	1	2	260.0	1066.0	1
1	26.17	0.25	2	3	5	0.0	1	0	0.0	1	2	0.0	1.0	1
1	22.58	1.5	1	6	4	0.54	0	0	0.0	1	2	120.0	68.0	0
1	16.33	4.085	2	3	8	0.415	0	0	0.0	1	2	120.0	1.0	0
0	19.58	0.665	1	8	4	1.0	0	1	1.0	0	2	2000.0	3.0	0
0	41.0	2.04	1	11	8	0.125	1	1	23.0	1	2	455.0	1237.0	1
0	23.0	11.75	2	14	8	0.5	1	1	2.0	1	2	300.0	552.0	1
1	40.58	5.0	2	8	4	5.0	1	1	7.0	0	2	0.0	3066.0	1
1	36.67	3.25	2	11	8	9.0	1	0	0.0	1	2	102.0	640.0	1
1	31.57	0.04	1	2	4	4.25	0	0	0.0	1	2	460.0	1.0	0
0	18.42	9.25	2	11	4	1.21	1	1	4.0	0	2	60.0	541.0	1
1	16.92	0.335	1	4	4	0.29	0	0	0.0	0	1	200.0	1.0	0
1	30.33	0.5	2	2	8	0.085	0	0	0.0	1	1	252.0	1.0	0
1	23.75	0.415	1	8	4	0.04	0	1	2.0	0	2	128.0	7.0	0
0	47.42	8.0	2	10	5	6.5	1	1	6.0	0	2	375.0	51101.0	1
1	23.17	0.0	2	13	4	0.085	1	0	0.0	0	2	0.0	1.0	1
0	26.5	2.71	1	8	4	0.085	0	0	0.0	0	1	80.0	1.0	0
0	15.83	7.625	2	11	4	0.125	0	1	1.0	1	2	0.0	161.0	0
0	57.08	19.5	2	8	4	5.5	1	1	7.0	0	2	0.0	3001.0	1
0	18.83	4.415	1	8	8	3.0	1	0	0.0	0	2	240.0	1.0	1
1	51.33	10.0	2	3	5	0.0	1	1	11.0	0	2	0.0	1250.0	1
0	36.0	1.0	2	8	4	2.0	1	1	11.0	0	2	0.0	457.0	1
1	19.42	7.25	2	7	4	0.04	0	1	1.0	0	2	100.0	2.0	0
1	35.58	0.75	2	4	4	1.5	0	0	0.0	1	2	231.0	1.0	0
0	24.75	3.0	2	11	8	1.835	1	1	19.0	0	2	0.0	501.0	1
0	58.33	10.0	2	11	4	4.0	1	1	14.0	0	2	0.0	1603.0	1
1	26.67	4.25	2	13	4	4.29	1	1	1.0	1	2	120.0	1.0	1
1	29.67	0.75	1	8	4	0.04	0	0	0.0	0	2	240.0	1.0	0
1	26.0	1.0	2	11	4	1.75	1	0	0.0	1	2	280.0	1.0	1
0	28.17	0.585	2	6	4	0.04	0	0	0.0	0	2	260.0	1005.0	0
